first_top5_publication_year,only_with_other_new_coauthors,solo,with_experienced_coauthor,total_new_authors,share_with_experienced_coauthor,share_only_with_other_new_coauthors,share_solo
1950,19,159,0,178,0.0,0.106742,0.893258
1951,32,98,3,133,0.022556,0.240602,0.736842
1952,50,116,17,183,0.092896,0.273224,0.63388
1953,26,83,25,134,0.186567,0.19403,0.619403
1954,18,107,40,165,0.242424,0.109091,0.648485
1955,29,71,42,142,0.295775,0.204225,0.5
1956,24,86,32,142,0.225352,0.169014,0.605634
1957,23,73,36,132,0.272727,0.174242,0.55303
1958,19,64,37,120,0.308333,0.158333,0.533333
1959,45,85,40,170,0.235294,0.264706,0.5
1960,27,76,29,132,0.219697,0.204545,0.575758
1961,28,91,36,155,0.232258,0.180645,0.587097
1962,38,72,53,163,0.325153,0.233129,0.441718
1963,26,68,26,120,0.216667,0.216667,0.566667
1964,28,69,54,151,0.357616,0.18543,0.456954
1965,4,75,56,135,0.414815,0.02963,0.555556
1966,41,85,55,181,0.303867,0.226519,0.469613
1967,26,64,47,137,0.343066,0.189781,0.467153
1968,16,76,55,147,0.37415,0.108844,0.517007
1969,38,77,35,150,0.233333,0.253333,0.513333
1970,44,91,50,185,0.27027,0.237838,0.491892
1971,42,100,37,179,0.206704,0.234637,0.558659
1972,59,99,65,223,0.29148,0.264574,0.443946
1973,26,99,33,158,0.208861,0.164557,0.626582
1974,33,88,31,152,0.203947,0.217105,0.578947
1975,31,106,26,163,0.159509,0.190184,0.650307
1976,30,94,41,165,0.248485,0.181818,0.569697
1977,50,83,44,177,0.248588,0.282486,0.468927
1978,48,73,40,161,0.248447,0.298137,0.453416
1979,33,68,42,143,0.293706,0.230769,0.475524
1980,50,102,57,209,0.272727,0.239234,0.488038
1981,25,70,41,136,0.301471,0.183824,0.514706
1982,34,48,51,133,0.383459,0.255639,0.360902
1983,41,51,53,145,0.365517,0.282759,0.351724
1984,32,58,48,138,0.347826,0.231884,0.42029
1985,54,64,45,163,0.276074,0.331288,0.392638
1986,24,53,48,125,0.384,0.192,0.424
1987,26,48,48,122,0.393443,0.213115,0.393443
1988,20,45,56,121,0.46281,0.165289,0.371901
1989,23,35,41,99,0.414141,0.232323,0.353535
1990,34,39,60,133,0.451128,0.255639,0.293233
1991,28,54,66,148,0.445946,0.189189,0.364865
1992,37,33,57,127,0.448819,0.291339,0.259843
1993,26,36,49,111,0.441441,0.234234,0.324324
1994,20,26,69,115,0.6,0.173913,0.226087
1995,18,34,40,92,0.434783,0.195652,0.369565
1996,40,31,48,119,0.403361,0.336134,0.260504
1997,37,29,62,128,0.484375,0.289062,0.226562
1998,32,28,53,113,0.469027,0.283186,0.247788
1999,73,47,128,248,0.516129,0.294355,0.189516
2000,60,43,119,222,0.536036,0.27027,0.193694
2001,82,30,130,242,0.53719,0.338843,0.123967
2002,81,50,124,255,0.486275,0.317647,0.196078
2003,87,44,130,261,0.498084,0.333333,0.168582
2004,73,35,150,258,0.581395,0.282946,0.135659
2005,52,35,149,236,0.631356,0.220339,0.148305
2006,59,29,143,231,0.619048,0.255411,0.125541
2007,74,30,108,212,0.509434,0.349057,0.141509
2008,58,37,163,258,0.631783,0.224806,0.143411
2009,75,33,152,260,0.584615,0.288462,0.126923
2010,87,28,179,294,0.608844,0.295918,0.095238
2011,94,41,214,349,0.613181,0.269341,0.117479
2012,91,29,249,369,0.674797,0.246612,0.078591
2013,76,41,177,294,0.602041,0.258503,0.139456
2014,60,29,224,313,0.715655,0.191693,0.092652
2015,62,36,225,323,0.696594,0.19195,0.111455
2016,96,25,247,368,0.671196,0.26087,0.067935
2017,107,40,276,423,0.652482,0.252955,0.094563
2018,50,23,221,294,0.751701,0.170068,0.078231
2019,63,28,191,282,0.677305,0.223404,0.099291
2020,68,31,244,343,0.71137,0.198251,0.090379
2021,52,27,278,357,0.778711,0.145658,0.07563
2022,71,32,267,370,0.721622,0.191892,0.086486
2023,73,31,302,406,0.743842,0.179803,0.076355
2024,53,29,313,395,0.792405,0.134177,0.073418
2025,64,27,301,392,0.767857,0.163265,0.068878
2026,36,11,153,200,0.765,0.18,0.055
