author_id,final_first_name,final_last_name,first_top5_publication_year,years_since_first_publication,entry_cohort,doi_full,from_publication_number,to_publication_number,publication_transition,previous_publication_year,publication_year,gap_years
AFZ000002,Daniel,Aaronson,2011,1,2011-2015,10.1257/aer.102.7.3111,1,2,1 to 2,2011,2012,1
AFZ000002,Daniel,Aaronson,2011,3,2011-2015,10.1257/aer.104.11.3701,2,3,2 to 3,2012,2014,2
AFZ000007,Alberto,Abadie,2002,1,2001-2005,10.1257/000282803321455188,1,2,1 to 2,2002,2003,1
AFZ000007,Alberto,Abadie,2002,2,2001-2005,10.1111/0034-6527.00321,2,3,2 to 3,2003,2004,1
AFZ000007,Alberto,Abadie,2002,3,2001-2005,10.1111/j.1468-0262.2006.00655.x,3,4,3 to 4,2004,2005,1
AFZ000007,Alberto,Abadie,2002,4,2001-2005,10.1257/000282806777211847,4,5,4 to 5,2005,2006,1
AFZ000007,Alberto,Abadie,2002,6,2001-2005,10.3982/ecta6474,5,6,5 to 6,2006,2008,2
AFZ000009,Jason,Abaluck,2011,0,2011-2015,10.1257/aer.101.4.1180,1,2,1 to 2,2011,2011,0
AFZ000009,Jason,Abaluck,2011,5,2011-2015,10.1257/aer.20130778,2,3,2 to 3,2011,2016,5
AFZ000009,Jason,Abaluck,2011,5,2011-2015,10.1257/aer.20140260,3,4,3 to 4,2016,2016,0
AFZ000009,Jason,Abaluck,2011,10,2011-2015,10.1093/qje/qjab008,4,5,4 to 5,2016,2021,5
AFZ000009,Jason,Abaluck,2011,10,2011-2015,10.1093/qje/qjab017,5,6,5 to 6,2021,2021,0
AFZ000009,Jason,Abaluck,2011,11,2011-2015,10.1093/restud/rdac050,6,7,6 to 7,2021,2022,1
AFZ000017,Jaap,Abbring,2003,7,2001-2005,10.3982/ecta6863,1,2,1 to 2,2003,2010,7
AFZ000017,Jaap,Abbring,2003,9,2001-2005,10.3982/ecta7312,2,3,2 to 3,2010,2012,2
AFZ000019,Mohammed,Abdellaoui,2002,9,2001-2005,10.1257/aer.101.2.695,1,2,1 to 2,2002,2011,9
