followup_window_years,observation_end_year,complete_followup_window_required,entry_cohort,from_publication_number,to_publication_number,publication_transition,number_of_authors,average_gap_years,gap_standard_deviation,median_gap_years,share_same_year,gap_standard_error,gap_ci_95_lower,gap_ci_95_upper
11,2026,1,1991-1995,1,2,1 to 2,284,4.066901,3.241585,3.0,0.105634,0.192353,3.688278,4.445525
11,2026,1,1991-1995,2,3,2 to 3,178,2.786517,2.343265,2.0,0.162921,0.175635,2.439908,3.133125
11,2026,1,1991-1995,3,4,3 to 4,117,2.042735,1.886399,1.0,0.153846,0.174398,1.697318,2.388152
11,2026,1,1991-1995,4,5,4 to 5,74,1.662162,1.615651,1.0,0.216216,0.187816,1.287846,2.036478
11,2026,1,1991-1995,5,6,5 to 6,52,1.173077,1.115333,1.0,0.307692,0.154669,0.862566,1.483588
11,2026,1,1991-1995,6,7,6 to 7,39,1.333333,1.344254,1.0,0.333333,0.215253,0.897577,1.76909
11,2026,1,1991-1995,7,8,7 to 8,27,0.777778,1.050031,0.0,0.518519,0.202078,0.3624,1.193156
11,2026,1,1991-1995,8,9,8 to 9,19,1.210526,0.917663,1.0,0.210526,0.210526,0.768227,1.652826
11,2026,1,1991-1995,9,10,9 to 10,13,1.076923,0.640513,1.0,0.153846,0.177646,0.689865,1.463981
11,2026,1,1991-1995,10,11,10 to 11,8,0.5,0.534522,0.5,0.5,0.188982,0.053128,0.946872
11,2026,1,1991-1995,11,12,11 to 12,5,0.6,0.547723,1.0,0.4,0.244949,-0.080087,1.280087
11,2026,1,1991-1995,12,13,12 to 13,4,0.5,0.57735,0.5,0.5,0.288675,-0.418693,1.418693
11,2026,1,1991-1995,13,14,13 to 14,2,0.5,0.707107,0.5,0.5,0.5,-5.853102,6.853102
11,2026,1,1991-1995,14,15,14 to 15,1,1.0,,1.0,0.0,,,
11,2026,1,1991-1995,15,16,15 to 16,1,1.0,,1.0,0.0,,,
11,2026,1,2001-2005,1,2,1 to 2,571,3.723292,2.742863,3.0,0.073555,0.114785,3.497839,3.948746
11,2026,1,2001-2005,2,3,2 to 3,340,2.432353,2.153028,2.0,0.135294,0.116764,2.202679,2.662027
11,2026,1,2001-2005,3,4,3 to 4,227,2.022026,1.781033,2.0,0.193833,0.118211,1.789089,2.254964
11,2026,1,2001-2005,4,5,4 to 5,157,1.605096,1.413116,1.0,0.22293,0.112779,1.382325,1.827866
11,2026,1,2001-2005,5,6,5 to 6,108,1.675926,1.557788,1.0,0.222222,0.149898,1.37877,1.973082
11,2026,1,2001-2005,6,7,6 to 7,67,1.253731,1.063774,1.0,0.223881,0.129961,0.994257,1.513206
11,2026,1,2001-2005,7,8,7 to 8,49,1.102041,1.211832,1.0,0.326531,0.173119,0.753962,1.45012
11,2026,1,2001-2005,8,9,8 to 9,40,0.925,1.095152,1.0,0.35,0.173159,0.574753,1.275247
11,2026,1,2001-2005,9,10,9 to 10,28,1.035714,0.961563,1.0,0.357143,0.181718,0.662859,1.408569
11,2026,1,2001-2005,10,11,10 to 11,19,0.631579,0.683986,1.0,0.473684,0.156917,0.301908,0.961249
11,2026,1,2001-2005,11,12,11 to 12,16,0.5,0.516398,0.5,0.5,0.129099,0.224831,0.775169
11,2026,1,2001-2005,12,13,12 to 13,11,0.363636,0.6742,0.0,0.727273,0.203279,-0.089297,0.81657
11,2026,1,2001-2005,13,14,13 to 14,9,1.111111,0.600925,1.0,0.111111,0.200308,0.649199,1.573023
11,2026,1,2001-2005,14,15,14 to 15,7,0.428571,0.534522,0.0,0.571429,0.202031,-0.065779,0.922922
11,2026,1,2001-2005,15,16,15 to 16,5,0.4,0.547723,0.0,0.6,0.244949,-0.280087,1.080087
11,2026,1,2001-2005,16,17,16 to 17,5,0.6,0.547723,1.0,0.4,0.244949,-0.080087,1.280087
11,2026,1,2001-2005,17,18,17 to 18,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,2026,1,2001-2005,18,19,18 to 19,1,1.0,,1.0,0.0,,,
11,2026,1,2001-2005,19,20,19 to 20,1,1.0,,1.0,0.0,,,
11,2026,1,2001-2005,20,21,20 to 21,1,0.0,,0.0,1.0,,,
11,2026,1,2001-2005,21,22,21 to 22,1,0.0,,0.0,1.0,,,
11,2026,1,2001-2005,22,23,22 to 23,1,0.0,,0.0,1.0,,,
11,2026,1,2011-2015,1,2,1 to 2,737,3.597015,2.850752,3.0,0.109905,0.105009,3.390862,3.803167
