entry_year_start,entry_year_end,maximum_gap_years_condition,from_publication_number,to_publication_number,publication_transition,previous_publication_year,number_of_authors,average_gap_years,gap_standard_deviation,median_gap_years,share_same_year,gap_standard_error,gap_ci_95_lower,gap_ci_95_upper
1990,2015,11,1,2,1 to 2,1990,56,3.946429,3.487222,3.0,0.107143,0.466,3.012545,4.880313
1990,2015,11,1,2,1 to 2,1991,71,3.901408,3.364329,3.0,0.056338,0.399272,3.105085,4.697732
1990,2015,11,1,2,1 to 2,1992,56,4.178571,3.275846,3.0,0.107143,0.437753,3.301294,5.055849
1990,2015,11,1,2,1 to 2,1993,49,4.510204,3.428571,4.0,0.142857,0.489796,3.525403,5.495005
1990,2015,11,1,2,1 to 2,1994,59,3.983051,3.170399,4.0,0.101695,0.412751,3.15684,4.809261
1990,2015,11,1,2,1 to 2,1995,49,3.836735,2.988498,4.0,0.142857,0.426928,2.978338,4.695132
1990,2015,11,1,2,1 to 2,1996,50,3.92,2.739283,3.5,0.08,0.387393,3.141504,4.698496
1990,2015,11,1,2,1 to 2,1997,67,3.880597,2.427883,3.0,0.014925,0.296613,3.28839,4.472804
1990,2015,11,1,2,1 to 2,1998,55,3.472727,2.508168,3.0,0.054545,0.338201,2.794674,4.15078
1990,2015,11,1,2,1 to 2,1999,112,4.026786,3.321944,3.0,0.107143,0.313894,3.404783,4.648788
1990,2015,11,1,2,1 to 2,2000,104,3.307692,2.845801,3.0,0.125,0.279054,2.754255,3.86113
1990,2015,11,1,2,1 to 2,2001,105,3.619048,2.771354,3.0,0.07619,0.270456,3.082722,4.155373
1990,2015,11,1,2,1 to 2,2002,121,3.512397,2.604853,3.0,0.066116,0.236805,3.04354,3.981254
1990,2015,11,1,2,1 to 2,2003,122,3.729508,2.442857,3.0,0.04918,0.221166,3.291652,4.167364
1990,2015,11,1,2,1 to 2,2004,123,4.195122,3.063959,4.0,0.081301,0.276268,3.648222,4.742022
1990,2015,11,1,2,1 to 2,2005,100,3.5,2.787055,3.0,0.1,0.278706,2.946988,4.053012
1990,2015,11,1,2,1 to 2,2006,93,3.935484,2.888532,4.0,0.096774,0.299527,3.340598,4.53037
1990,2015,11,1,2,1 to 2,2007,99,3.272727,2.71736,3.0,0.121212,0.273105,2.730759,3.814695
1990,2015,11,1,2,1 to 2,2008,126,3.825397,2.762837,3.0,0.055556,0.246133,3.338269,4.312525
1990,2015,11,1,2,1 to 2,2009,136,3.676471,2.646822,3.0,0.058824,0.226963,3.227607,4.125334
1990,2015,11,1,2,1 to 2,2010,127,3.503937,2.948968,3.0,0.141732,0.261679,2.986083,4.021791
1990,2015,11,1,2,1 to 2,2011,148,3.804054,3.03866,3.0,0.087838,0.249776,3.310438,4.29767
1990,2015,11,1,2,1 to 2,2012,166,3.722892,2.94521,3.0,0.114458,0.228593,3.271548,4.174235
1990,2015,11,1,2,1 to 2,2013,136,3.323529,2.804447,2.5,0.095588,0.240479,2.847935,3.799124
1990,2015,11,1,2,1 to 2,2014,134,3.925373,2.893152,3.0,0.104478,0.24993,3.431021,4.419726
1990,2015,11,1,2,1 to 2,2015,153,3.215686,2.515586,3.0,0.143791,0.203373,2.813883,3.617489
